User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAXAX23PMHNF3MHESP,2020-05-30T06:32:10Z,s3.amazonaws.com,PutBucketPolicy,us-east-2,24.80.38.154,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""tomsecond-cloudtrail""}]",A6495CBE0F80A0D7,121ccfdc-7038-4b9e-af71-85b638370d55,,AwsApiCall,482636167950,
CloudTrail,ASIAXAX23PMHNF3MHESP,2020-05-30T06:32:10Z,cloudtrail.amazonaws.com,StartLogging,us-east-2,24.80.38.154,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",525ea4b4-6f1a-4656-8525-0c0db94a0b00,357e0ddd-231c-4c65-905a-10ebd0cc2a08,false,AwsApiCall,482636167950,
CloudTrail,ASIAXAX23PMHNF3MHESP,2020-05-30T06:32:10Z,cloudtrail.amazonaws.com,CreateTrail,us-east-2,24.80.38.154,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:482636167950:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""tomsecond-cloudtrail""}]",d7df5afb-4682-42c6-a7ce-8105361dded5,59122375-8726-4a7a-85cf-307403822abc,false,AwsApiCall,482636167950,
CloudTrail,ASIAXAX23PMHNF3MHESP,2020-05-30T06:32:10Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-2,24.80.38.154,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:482636167950:trail/Udacity_Trail""}]",cf060ad6-a1ea-41a6-b2f6-a74e28cda4f8,a9de19af-31bb-420f-aa5b-f7073b8c1113,false,AwsApiCall,482636167950,
CloudTrail,ASIAXAX23PMHNF3MHESP,2020-05-30T06:32:09Z,s3.amazonaws.com,CreateBucket,us-east-2,24.80.38.154,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""tomsecond-cloudtrail""}]",3543BAFF2E70EF9E,61ffe41d-1b1f-4081-b741-8f88cf7ea264,,AwsApiCall,482636167950,
Accountant,ASIAXAX23PMHM4UOT4HC,2020-05-30T06:28:20Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],0477aef3-ee93-41c8-b1f8-c4d956138edb,a7c414ee-ee87-4af3-b7b4-ff636d5bf6ce,false,AwsApiCall,482636167950,
CloudTrail,ASIAXAX23PMHMGXXMIAS,2020-05-30T06:27:26Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],7459cd8f-76ea-49ae-8a36-55a031a24de8,cc5028a2-f1ab-4483-96ae-083f07491bb3,false,AwsApiCall,482636167950,
CloudTrail,,2020-05-30T06:27:04Z,signin.amazonaws.com,ConsoleLogin,us-east-1,24.80.38.154,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:76.0) Gecko/20100101 Firefox/76.0,,[],,d0bfb406-0256-467d-b699-ea1b4fea6ca8,,AwsConsoleSignIn,482636167950,
CloudTrail,,2020-05-30T06:26:52Z,signin.amazonaws.com,ConsoleLogin,us-east-1,24.80.38.154,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:76.0) Gecko/20100101 Firefox/76.0,,[],,0fcc0b75-5fb3-4bb1-a4e6-3d142f31dbf2,,AwsConsoleSignIn,482636167950,
root,ASIAXAX23PMHFH7QNBYP,2020-05-30T06:25:18Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,24.80.38.154,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",c138ac4f-53e0-4beb-a1a2-5754ccb189bb,fdf746f7-191a-45c6-beed-178167358f4a,,AwsApiCall,482636167950,
